ID,Kategorie,Aufgabe,Intervall (Tage),Zuständig,Fällig am,Icon,Aktiv,
T1000,Küche,"Geschirr, Oberflächen, Tisch",1,Oliver,27.07.2026 12:00:00,🍽️,ja,
T1001,Küche,Boden wischen,7,Everybody,26.07.2026 12:00:00,🧽,ja,
T1002,Küche,Kühlschrank auswischen,30,Everybody,01.08.2026 12:00:00,🧊,ja,
T1003,Küche,Backofen reinigen,60,Everybody,01.08.2026 12:00:00,🔥,ja,
T1004,Küche,Backblech reinigen,30,Everybody,19.08.2026 12:00:00,🔥,ja,
T1005,Küche,Kästen innen reinigen,365,Everybody,01.08.2026 12:00:00,🧊,ja,
T1006,Küche,Staubsaugen,1,Everybody,26.07.2026 12:00:00,🌀,ja,
T1007,Küche,Fronten reinigen,30,Everybody,01.08.2026 12:00:00,🧊,ja,
T1008,Badezimmer,Toilette komplett,7,Everybody,01.08.2026 12:00:00,🚽,ja,
T1009,Badezimmer,Toilette express,1,Everybody,26.07.2026 12:00:00,🚽,ja,
T1010,Badezimmer,Waschbecken & Spiegel,7,Everybody,28.07.2026 12:00:00,🪞,ja,
T1011,Badezimmer,Badewanne / Dusche,7,Everybody,26.07.2026 12:00:00,🛁,ja,
T1012,Badezimmer,Boden wischen,7,Everybody,26.07.2026 12:00:00,🧽,ja,
T1013,Wohnbereich,Staubsaugen,7,Everybody,26.07.2026 12:00:00,🌀,ja,
T1014,Wohnbereich,Fenster - Check,30,Everybody,01.08.2026 12:00:00,🪟,ja,
T1015,Wohnbereich,Fenster putzen express,90,Everybody,01.08.2026 12:00:00,🪟,ja,
T1016,Wohnbereich,Fenster putzen komplett,180,Everybody,01.08.2026 12:00:00,🪟,ja,
T1017,Wohnbereich,Aufräumen & Spielzeug,1,Everybody,27.07.2026 12:00:00,🧸,ja,
T1018,Wohnbereich,"Oberflächen, TV, Kommode...",7,Everybody,01.08.2026 12:00:00,🪶,ja,
T1019,Wohnbereich,Staubsaugen express,1,Everybody,26.07.2026 12:00:00,🌀,ja,
T1020,Vorraum / Treppen,Staubsaugen,7,Everybody,26.07.2026 12:00:00,🌀,ja,
T1021,Vorraum / Treppen,Boden wischen,7,Everybody,26.07.2026 12:00:00,🧽,ja,
T1022,Vorraum / Treppen,"Oberflächen, Kallax...",7,Everybody,01.08.2026 12:00:00,🪶,ja,
T1023,Wäsche,Bettwäsche wechseln,14,Everybody,09.08.2026 12:00:00,🛏️,ja,
T1024,Sonstiges,Müll Check/rausbringen,1,Florian,26.07.2026 12:00:00,🗑️,ja,
T1025,Sonstiges,Altpapier & Recycling,3,Florian,27.07.2026 12:00:00,♻️,ja,
T1026,Auto [Ali],Aufräumen,14,Everybody,02.08.2026 12:00:00,🚙,ja,
T1027,Auto [Ali],Saugen / Wischen,40,Everybody,14.09.2026 12:00:00,🧽,ja,
T1028,Auto [Clio],Aufräumen,14,Everybody,26.07.2026 12:00:00,🚙,ja,
T1029,Auto [Clio],Saugen / Wischen,40,Everybody,26.07.2026 12:00:00,🧽,ja,
T1030,Büro,Dokumentenmanagement,20,Oliver,26.07.2026 12:00:00,🗃️,ja,
T1031,Büro,Staubsaugen,7,Everybody,26.07.2026 12:00:00,🌀,ja,
T1032,Büro,Boden wischen,7,Everybody,26.07.2026 12:00:00,🧽,ja,
T1033,Büro,"Oberflächen, TV, Schreibtisch, Fensterbank...",7,Everybody,01.08.2026 12:00:00,🪶,ja,
T1034,Garten,Schildkröten füttern,1,Everybody,27.07.2026 12:00:00,🐢,ja,
T1784546025408,Einmalig,Clio nach Friesam,1,,26.07.2026 12:00:00,1x,ja,ja
T1784613101738,Einmalig,Roller zum Pickerl,1,Oliver,22.07.2026 12:00:00,1x,nein,ja
T1784650253664,Küche,Tiefkühler enteisen & reinigen,60,Oliver,22.09.2026 12:00:00,🧊,ja,nein
